row ID	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
75	120.0653072	0.82359654	Threonin	0	0	0	0	43964.383	30457.758	41232.484	18146.344	34791.42	24252.18	39986.766	38958.836	155454.45	57117.113	93371.72	40140.74	30787.715	88709.22	184475.75	232805.69	139676.16	61850.734	162765.22	120648.234	0	0	0	0	9036.59	7556.9575	7978.5845	3865.4644	44803.203	59200.23	56284.977	44914.363	49837.477	86874.07	113059.03	81301.586	160285.17	86623.25	97784.875	114140.195	189911.16	171313.12	93769.336	109112.984
79	176.10244	0.8246884	L-citrulline	0	0	0	0	0	0	0	0	0	0	0	0	0	1951.7966	41111.88	0	0	0	154749.97	229140.9	2082.3135	0	3829.5566	65643.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9292.809	1775.0007	0	0
93	148.0600154	0.8257777	Glutamat	0	0	0	0	10400.65	6752.236	7513.142	0	0	0	0	0	128884.33	7294.1064	31720.914	9303.512	11299.658	34163.668	70476.67	225561.83	136939.69	62940.68	118411.52	271797	0	0	1807.4204	3986.0178	2255.525	0	0	0	4425.0503	14422.96	8409.017	13389.158	29022.13	43113.613	51505.406	36570.457	98356.34	27875.955	36263.484	34121.56	361356.16	320354.94	54990.53	54535.973
119	195.0858218	0.8373259	Ononitol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	138.0546236	0.8454966	Trigonelline	0	6597.501	3926.2666	8228.557	0	0	0	0	0	0	0	0	1793.4268	0	0	0	0	0	8953.838	22242.93	0	0	1871.0554	8791.037	4249.047	0	8924.721	6499.2065	4546.456	4185.754	2228.3357	0	1931.4197	7036.2246	3968.915	0	3929.1748	8058.745	10547.45	4406.579	21695.879	4211.5654	6828.7153	6750.3105	28308.5	18376.512	6999.1655	8729.782
129	127.0387493	0.84276116	5-Hydroxymethylfurfural	12382.532	25567.973	20851.541	25409.463	0	0	0	0	0	0	0	0	8642.264	0	0	0	0	0	4191.1753	5187.4395	6562.386	0	0	2015.6857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6822.877	0	0	0	14981.854	16053.299	0	0
147	175.1072684	0.8620872	n5-acetyl-l-ornithine	0	0	0	0	0	0	0	0	0	0	0	0	11737.143	0	7547.956	0	0	0	8648.3955	25205.613	11251.456	0	10315.637	41272.863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22721.666	8543.39	0	8737.357
161	136.0614647	0.8726825	Adenine	0	0	0	0	59471.746	37031.875	44071.203	18138.883	23822.78	78501.11	34636.727	15250.972	54303.31	432724.62	394132.75	364092.16	98658.03	35669.508	37167.914	155366.97	48930.473	63462.33	529887.1	424944.75	0	0	0	0	9613.021	4829.3926	4734.623	0	60093.01	41850.105	75464.81	35274.05	89866.67	63155.97	82364.68	41463.145	116424.734	57546.887	86778.29	70440.84	59297.57	47332.062	33060.277	51524.824
162	152.0563196	0.8753074	2,1-Benzoxaborole, 4-fluoro-1,3-dihydro-1-hydroxy-	0	0	0	0	0	0	0	0	0	0	0	3949.0398	0	0	0	9552.435	0	0	0	0	0	0	1915.5247	1771.5415	0	0	0	0	0	0	0	1923.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	139.049862	0.88014716	Imidazole-4-acrylic acid	0	0	0	0	1916.7112	0	1857.0856	0	0	0	0	8999.8545	10728.158	27601.432	81033.42	37979.957	17961.229	27124.395	510504.16	358044.8	36170.477	34268.94	167169.52	223690.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2363.215	2378.9602	1991.8452	1976.9839	34609.37	17735.49	7327.138	13569.865
