row ID	Glycine	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
335	P	205.0966278	3.6092708	DL-Tryptophan	2438.4207	8955.684	8948.695	13370.164	17592.68	11342.043	19265.516	6276.0776	35868.984	31557.932	45023.04	48108.145	168838.02	145538.38	210113.11	71626	132293.17	130366.65	475952.66	422059.7	237435.19	81481.39	295462.6	602399.06	0	0	0	0	0	0	0	0	27731.531	31644.76	42679.797	21416.936	158503.08	85628.93	123874.25	46747.652	204820.38	175488.4	289450.06	244760.81	338242.7	283765.5	177272.5	298832.34
387	P	447.1277422	3.7179651	Glycitin	14595.901	30556.469	25920.719	31665.271	15455.882	15842.173	9771.031	6268.79	0	0	0	0	14821.632	0	0	0	0	5313.5312	9408.395	23709.49	13420.59	2478.6196	8081.965	12960.849	2554.4656	0	10513.628	6021.677	0	0	0	0	0	1894.3962	0	0	0	2096.3154	4462.8	4208.252	9834.716	0	0	0	20009.89	15416.041	1991.2073	2676.4927
389	P	417.1172238	3.716245	Daidzin	251774.48	529043.2	507745.56	515688.66	219893.48	250462.27	162892.78	147894.61	20321.078	4558.805	11708.883	25478.264	81234.68	15139.223	20395.662	17883.828	4001.8142	23284.285	59792.598	138549.38	38759.79	20921.582	31776.064	49998.5	176711.53	34922.39	339796.1	223581.61	113801.266	68618.43	89425.52	61736.35	33652.207	52148.184	35166.31	33129.168	20853.902	40507.387	44193.53	34194.55	52251.555	14917.256	14513.982	18439.35	93965.86	64718.95	17631.613	20975.045
421	P	503.1174978	3.7600245	Malonyldaidzin	0	6456.8525	5329.556	6545.936	0	0	0	0	0	0	0	0	4260.5176	0	0	0	0	0	0	0	0	0	0	0	0	0	4824.486	2184.5312	0	0	0	0	0	0	0	0	0	0	0	0	5744.3154	0	0	0	23312.63	10742.2705	0	0
434	P	433.1121203	3.7766466	Genistin	456326.34	931752.94	952130	1027604.2	448518.88	465559.28	344698.5	291101.53	89104.5	39568.59	70742.25	116471.59	276102.6	73879.766	81096.01	90564.46	40068.008	144921.44	226780.88	459045.84	205242.95	122492.2	182446.23	215557.8	296165.7	58969.37	601660.3	380316.75	246778.08	170008.67	212975.66	161428.52	106592.5	178431.83	150772.48	126808.83	90444.38	167691.56	199573.53	124987.18	209186.25	82591.22	106182.73	100342.05	331379.94	224320.52	95391.95	119652.08
449	P	459.1278349	3.8115528	6''-O-acetyldaidzin	31415.52	64197.65	57880.906	65796.49	47054.527	46986.992	39927.996	31042.547	17309.146	4926.5073	16700.63	21627.943	34211.594	10172.278	10596.441	5368.0576	4924.366	15229.6	0	28167.479	18884.906	10792.407	16492.883	18682.1	25071.73	0	46865.332	29478.645	31974.604	21713.742	28292.273	20544.006	21132.975	32368.29	35675.734	22099.11	25896.78	35921.027	38772.844	26510.13	45548.793	22808.287	27611.191	24541.7	51152.117	35161.992	24194.617	28589.268
457	P	519.1124692	3.825446	Malonylgenistin	5677.913	22353.445	17651.094	22341.768	6200.4497	7694.8413	2032.3252	0	0	0	0	0	19467.795	0	0	0	0	0	0	16279.279	5680.5273	0	2436.3994	12794.1	4541.0864	0	16832.945	9487.768	0	0	0	0	0	7102.8613	2013.0569	1855.1636	2161.6765	8018.5527	8015.382	6771.824	20901.373	0	2184.4575	1884.6423	51657.8	27487.145	7482.461	5106.7026
483	P	475.1226815	3.9016137	6''-O-acetylgenistin	70649.55	145875.39	142755.17	145000.44	96033.86	95257.69	92996.76	66177.02	50092.367	27167.834	51817.46	64033.035	66877.266	36368.7	37681.81	23545.02	22119.488	52201.496	6852.378	72274.98	53256.414	36112.51	59043.188	50678.047	54294.234	7729.5615	107638.52	70368.125	70931.26	51994.402	63442.223	54218.1	56480.77	71921.51	78314.32	52013.445	69128.85	78897.62	98371.84	55403.88	93074.01	54704.38	80407.41	66143.984	97034.32	74763.86	53320.4	71229.45
524	P	255.0644858	3.9857762	Daidzein	2024655.2	3226491	3096292	3116322.5	3893560.5	3298812.8	4266074.5	2276786.8	1984101	1831793.5	2361236.8	2965413.2	4338629.5	3538161	4239289.5	2488437.5	1592792.8	3584850.2	5539948.5	6870288.5	4591025	5090189	6635384	6266086	2837991.8	1045129.7	3626441.8	2670319.2	3538528.8	2720323.8	3325669.5	2920251.8	3468223	4092662.8	4922270	3250778	4627176	4647256	5436392.5	3320444	6309862	3705252.8	5020216	4582180	5154742.5	4905946	3735569.2	5533557.5
541	P	285.0749264	4.0098395	Glycetein	104074.47	165627.8	161969.25	159032.75	182510.45	161993.14	211332.16	102277.805	120183.85	79989.6	143643.86	175530.39	220207.23	218821.92	280013.22	137469.7	130425.19	241158.39	360875.25	418967.1	274793.9	216058.83	397930.16	425363.2	246896.52	86917.016	325214.94	230459.81	279482.1	227088.28	243686.84	219395.45	249896.33	286177.3	335196.5	209653.62	314196.12	320679.94	361826.66	198730.52	429855.6	302840.06	408970.53	326407.72	354800.38	315721.56	320075.06	403142.2
